index,chord
0,A
1,A#
2,A#11
3,A#7
4,A#9
5,A#add9
6,A#aug
7,A#dim
8,A#m
9,A#m7
10,A#maj7
11,A11
12,A7
13,A9
14,Aadd9
15,Aaug
16,Adim
17,Am
18,Am7
19,Amaj7
20,B
21,B11
22,B7
23,B9
24,Badd9
25,Baug
26,Bdim
27,Bm
28,Bm7
29,Bmaj7
30,C
31,C#
32,C#11
33,C#7
34,C#9
35,C#add9
36,C#aug
37,C#dim
38,C#m
39,C#m7
40,C#maj7
41,C11
42,C7
43,C9
44,Cadd9
45,Caug
46,Cdim
47,Cm
48,Cm7
49,Cmaj7
50,D
51,D#
52,D#11
53,D#7
54,D#9
55,D#add9
56,D#aug
57,D#dim
58,D#m
59,D#m7
60,D#maj7
61,D11
62,D7
63,D9
64,Dadd9
65,Daug
66,Ddim
67,Dm
68,Dm7
69,Dmaj7
70,E
71,E11
72,E7
73,E9
74,Eadd9
75,Eaug
76,Edim
77,Em
78,Em7
79,Emaj7
80,F
81,F#
82,F#11
83,F#7
84,F#9
85,F#add9
86,F#aug
87,F#dim
88,F#m
89,F#m7
90,F#maj7
91,F11
92,F7
93,F9
94,Fadd9
95,Faug
96,Fdim
97,Fm
98,Fm7
99,Fmaj7
100,G
101,G#
102,G#11
103,G#7
104,G#9
105,G#add9
106,G#aug
107,G#dim
108,G#m
109,G#m7
110,G#maj7
111,G11
112,G7
113,G9
114,Gadd9
115,Gaug
116,Gdim
117,Gm
118,Gm7
119,Gmaj7
